N_A,N_B,r_Z_A,r_Z_B,r_A_B1,r_B_B2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ub1,Ub1_low,Ub1_up,Ub2,Ub2_low,Ub2_up,sim_time_sec
17,83,0.01,0.01,0.07692307692307693,0.09090909090909091,599.5618522715766,587.5072875706361,611.6164169725172,223.5590500254761,219.07049626750373,228.04760378344847,912.7531710845859,885.519916653647,939.9864255155248,0.1668851816341198,0.16351309555044174,0.17039927961835477,0.0762965770650134,0.07465431601056373,0.0780127169158504,0.09021646101874226,0.08829668426413594,0.09222157407199114,0.9987728179813546,0.9861995236220499,1.0113461123406593,1.0,0.9713515668682959,1.028648433131704,8.147278785705566
26,74,0.01,0.01,0.07692307692307693,0.09090909090909091,598.8056809418699,588.2883927582247,609.3229691255151,336.27569198621717,331.12234444533345,341.4290395271009,817.5814545156533,802.3033814875621,832.8595275437444,0.16727716893831082,0.16417831021241153,0.1704952598234267,0.07724766168143103,0.07611957996724136,0.07840968239893531,0.09053745657732068,0.08899209905831924,0.09213743316661557,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,8.947041034698486
5,95,0.01,0.01,0.07692307692307693,0.09090909090909091,753.1901807048029,736.9071123008275,769.4732491087782,121.63870502683075,119.73081972216787,123.54659033149363,1043.8155843152938,1027.572426077694,1060.0587425528936,0.13239674881491337,0.13039590819215366,0.13445994951541548,0.041196232321562894,0.04045354349526493,0.04196670129499222,0.09105338496333981,0.08851914958929404,0.09373700349348174,0.5365045965460579,0.523610413109293,0.5493987799828227,1.0,0.9713515668682959,1.028648433131704,8.748513460159302
33,67,0.01,0.01,0.07692307692307693,0.09090909090909091,591.8286100858433,580.5456273862105,603.111592785476,425.5138609833429,415.6980112317925,435.3297107348933,730.4477539738405,714.1626059039545,746.7329020437264,0.16883213235750802,0.16520330051517748,0.17262396545428274,0.07739559958879946,0.07621151611806659,0.0786170574868902,0.09095521655861208,0.0889346821750208,0.09306969558295554,1.0,0.9713515668682959,1.028648433131704,1.0,0.9874855732602297,1.0125144267397703,6.704268455505371
36,64,0.01,0.01,0.07692307692307693,0.09090909090909091,592.0757418088257,581.3804014560208,602.7710821616306,464.856349141121,457.5732259070951,472.13947237514685,702.7134485756957,689.0563026434679,716.3705945079234,0.1687133535461315,0.16538507587667695,0.17217834170681554,0.07744992678990528,0.07620548918991314,0.07873568251197358,0.09202079949469388,0.08938313840284093,0.09481886678295365,1.0,0.9713515668682959,1.028648433131704,1.0,0.9874855732602297,1.0125144267397703,6.597036123275757
2,98,0.01,0.01,0.07692307692307693,0.09090909090909091,925.5822637080097,905.0530646625333,946.1114627534861,114.54962686818224,112.3644621510228,116.73479158534168,1074.571480692846,1056.201941554407,1092.941019831285,0.10800205038521804,0.10572737208394588,0.11037675820114254,0.017458712027391677,0.017157546946473146,0.017770638659239477,0.09123756648038346,0.08956791325261541,0.0929706508136184,0.22405628086501442,0.2185485972276911,0.22956396450233774,1.0,0.9713515668682959,1.028648433131704,10.854604244232178
30,70,0.01,0.01,0.07692307692307693,0.09090909090909091,593.604067163736,577.8212176355692,609.3869166919028,390.33805061723206,383.28610111776817,397.39000011669594,766.665385702465,752.5277078931844,780.8030635117456,0.16893272220766906,0.16628918465217077,0.1716616673610022,0.07685090087028495,0.07517201232563708,0.07860649500588714,0.0915122222150967,0.0896785253377725,0.09342247326861632,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,7.276447296142578
42,58,0.01,0.01,0.07692307692307693,0.09090909090909091,599.5006475358321,586.0381548484477,612.9631402232164,546.0495291700482,534.467428091709,557.6316302483874,645.4321694681064,628.051817281141,662.8125216550718,0.16594563710745627,0.16187142632395132,0.17023023428404907,0.07677564625916,0.07527369818299802,0.07833875183857275,0.09069039617386908,0.08819162400029563,0.09333489491021464,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,6.874926328659058
45,55,0.01,0.01,0.07692307692307693,0.09090909090909091,598.4241997059494,586.8151164865012,610.0332829253975,582.4197052621845,570.8378853413434,594.0015251830256,605.7427985675215,594.0478602880986,617.4377368469444,0.1665878642331852,0.16417724547361054,0.16907032825432033,0.0772905039085789,0.07561744975254692,0.07903926658008215,0.09064679084499985,0.08866806479365542,0.09271584765311493,1.0,0.9713515668682959,1.028648433131704,1.0,0.9874855732602297,1.0125144267397703,6.83889627456665
39,61,0.01,0.01,0.07692307692307693,0.09090909090909091,597.2797557281776,584.8801303413414,609.6793811150138,506.39405954505844,494.67979826283454,518.1083208272823,671.0161173837341,654.5757562451233,687.4564785223449,0.1672734473188662,0.1644282660117698,0.17021882545888042,0.0768740851871395,0.07555389172278834,0.07824123605289203,0.09082142176780875,0.08899935995504034,0.09271964811699421,1.0,0.9713515668682959,1.028648433131704,1.0,0.9874855732602297,1.0125144267397703,8.728445291519165
