N_A,N_B,r_Z_A,r_Z_B,r_gw,r_A_s1,r_B_s2,r_B_s3,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Us1,Us1_low,Us1_up,Us2,Us2_low,Us2_up,Us3,Us3_low,Us3_up,Ugw,Ugw_low,Ugw_up,sim_time_sec
5,20,0.01,0.01,0.5,0.05555555555555555,0.1,0.07692307692307693,222.1288912548402,218.63355888167195,225.62422362800845,136.5077280215798,134.39874023124116,138.61671581191843,262.91979889612605,258.7295637695653,267.1100340226868,0.11253145504114154,0.11083000811094804,0.114285957223323,0.036898385865951,0.035824033788308604,0.03803916919302727,0.07606764251174516,0.07477537133004425,0.07740536536338606,0.6644926717918088,0.6515205302997137,0.677464813283904,0.7607718027023149,0.7403689961691965,0.7811746092354334,0.9884776299529089,0.97492313191955,1.0020321279862676,0.22809685800338464,0.22332209018712712,0.23287162581964216,11.79376482963562
6,19,0.01,0.01,0.14285714285714285,0.07692307692307693,0.2,0.125,185.1213012623266,180.55711031982304,189.68549220483015,170.7359671967134,166.55180423551607,174.92013015791073,188.97091799466673,186.4282023277259,191.51363366160757,0.13574538669729053,0.13368034503501014,0.1378752292901265,0.035524168884363425,0.0346254235587877,0.03647081357047854,0.10075862066459638,0.09917507735631524,0.10239355386921765,0.4651067184835944,0.4521973493351912,0.47801608763199765,0.4968868399051247,0.48256582991369423,0.5112078498965552,0.7963671884705312,0.7740280486493365,0.818706328291726,0.9444034802377353,0.9317425273610203,0.9570644331144504,12.538944244384766
4,21,0.01,0.01,0.2,0.06666666666666667,0.14285714285714285,0.1,194.7559316633069,191.53182331399321,197.9800400126206,133.99348668201728,130.081855831611,137.90511753242356,213.1524778710913,208.99287372445147,217.31208201773111,0.12872302952297773,0.1264246584812028,0.13110651564479964,0.02991043338223262,0.02949595781399666,0.03033672334116661,0.09861578771124974,0.0968295030207182,0.10046921686619835,0.45329955316158554,0.44422199506385235,0.46237711125931874,0.6873226992396229,0.6727676316317053,0.7018777668475404,0.9799633333895907,0.9655624837407423,0.9943641830384392,0.6430208345759617,0.6303309296467619,0.6557107395051616,15.72087812423706
0,25,0.01,0.01,0.1,0.1,0.5,0.2,253.0881333736102,246.40504224487142,259.77122450234896,0.0,0.0,0.0,253.0881333736102,246.40504224487142,259.77122450234896,0.09976905741601656,0.09791360788354705,0.10169618629413747,0.0,0.0,0.0,0.09976905741601656,0.09791360788354705,0.10169618629413747,0.0,0.0,0.0,0.2000013504658803,0.19525382574166952,0.20474887519009108,0.4945000755364985,0.47982020824110544,0.5091799428318915,0.9999952966335197,0.9874808045161888,1.0125097887508505,9.519973039627075
1,24,0.01,0.01,0.2,0.06666666666666667,0.14285714285714285,0.1,232.8660356508184,227.81833784514978,237.913733456487,125.56201686570247,123.2203299398585,127.90370379154645,240.96376247962618,235.953659074568,245.97386588468436,0.10734846087176268,0.10502696405569956,0.10977490531353334,0.00796419191856062,0.007818381879150032,0.008115543924351452,0.09939002809367885,0.09748329115651108,0.10137284322339614,0.12024712080271822,0.11751939230537262,0.12297484930006383,0.6986770303657739,0.6837317300044404,0.7136223307271073,0.9927625374006379,0.9806082805231419,1.0049167942781339,0.5348313834122862,0.5246448912638528,0.5450178755607196,35.18724179267883
0,25,0.01,0.01,0.5,0.05555555555555555,0.1,0.07692307692307693,325.6818686349678,318.89548075748473,332.4682565124509,0.0,0.0,0.0,325.6818686349678,318.89548075748473,332.4682565124509,0.07675663707115335,0.07523863344823951,0.07833715603080915,0.0,0.0,0.0,0.07675663707115335,0.07523863344823951,0.07833715603080915,0.0,0.0,0.0,0.7766642386113599,0.7588986280310424,0.7944298491916775,0.9976133657086063,0.9850895905264537,1.010137140890759,0.15473844424776975,0.1504707329129818,0.1590061555825577,10.050153493881226
5,20,0.01,0.01,0.1,0.1,0.5,0.2,249.89025812501097,243.01073775691364,256.76977849310833,251.76602608761107,244.3812859443143,259.15076623090783,250.76385298174446,246.9975179429585,254.53018802053043,0.1001119552415555,0.09859453789260803,0.10167681024415386,0.019970680877994355,0.019664146741994407,0.020286923150885542,0.07980763948420726,0.07847587276486136,0.08118538774862961,0.19929747665859435,0.19399572920257954,0.20459922411460915,0.15861923642833547,0.154339149083906,0.16289932377276495,0.3985215201702751,0.3890346150014881,0.40800842533906206,0.9998901235485542,0.987403583626691,1.0123766634704174,19.19991445541382
2,23,0.01,0.01,0.3333333333333333,0.058823529411764705,0.1111111111111111,0.08333333333333333,253.42385557059984,249.61875787841274,257.22895326278694,122.9952379536882,120.76896609183437,125.22150981554203,276.8287173651627,271.4272174534281,282.23021727689724,0.0986377296251508,0.09714800628501649,0.10017385303774762,0.016261994260434103,0.01597334156301036,0.016561271380241237,0.08265674636879687,0.08050696502258904,0.08492448907144116,0.27514348614950446,0.2693653939919663,0.2809215783070426,0.7427329577121281,0.7227953547615472,0.762670560662709,0.9903243695371715,0.977438492734183,1.00321024634016,0.29753523443143354,0.2908226744758442,0.3042477943870229,17.95611000061035
5,20,0.01,0.01,0.3333333333333333,0.058823529411764705,0.1111111111111111,0.08333333333333333,210.60695272601976,207.1415031443567,214.0724023076828,135.20238111137246,132.93712466062138,137.46763756212354,244.09945804730341,239.6507987209856,248.54811737362124,0.11863803944458,0.11677125161546255,0.12056548456557464,0.03649175505096265,0.03548260435705518,0.03755998802499007,0.08185796494809162,0.08033695024133959,0.08343768569499822,0.628565292458492,0.6103374280529212,0.6467931568640628,0.7309370602646781,0.7120351327936327,0.7498389877357234,0.9901983612380757,0.977692855265173,1.0027038672109785,0.35640958689700575,0.34928378008091376,0.36353539371309773,11.896302461624146
2,23,0.01,0.01,0.1,0.1,0.5,0.2,249.88270136753152,246.1699078962995,253.59549483876356,249.9100724848713,246.16023871443406,253.65990625530856,250.00868590507935,247.02024154809877,252.99713026205993,0.0998803176238909,0.09845093239962868,0.10135182013403077,0.007994650517029012,0.007843622646235546,0.008151608615118275,0.09245648951403156,0.08978678606652953,0.09528981911345084,0.07939211062036179,0.07766259689824945,0.08112162434247414,0.18374977973531847,0.1795220297392877,0.18797752973134926,0.45955970217174724,0.4486726927318822,0.4704467116116123,0.9998674310497799,0.9873765234448785,1.0123583386546815,41.40505909919739
