N_A,N_B,r_Z_A,r_Z_B,c_A_T1,c_A_T2,c_A_T3,c_B_T1,c_B_T2,c_B_T4,r_A_T1,r_A_T2,r_A_T3,r_B_T1,r_B_T2,r_B_T4,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ut1_A,Ut1_A_low,Ut1_A_up,Ut2_A,Ut2_A_low,Ut2_A_up,Ut3_A,Ut3_A_low,Ut3_A_up,Ut1_B,Ut1_B_low,Ut1_B_up,Ut2_B,Ut2_B_low,Ut2_B_up,Ut3_B,Ut3_B_low,Ut3_B_up,sim_time_sec
15,35,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,313.047551976341,307.76849574175,318.326608210932,245.870093248858,238.778447346163,252.961739151554,354.084942354849,347.305189336947,360.86469537275,0.160055586253689,0.157156227139577,0.163063936084133,0.061279777290504,0.06031710055146,0.062273681575682,0.098438009712756,0.096733621308553,0.100203535931999,0.728606776489392,0.714472776199645,0.742740776779139,0.918506191866198,0.902638256498235,0.934374127234162,0.671868796668641,0.652984821311018,0.690752772026265,0.78273361562972,0.762605382482737,0.802861848776703,0.879118572355684,0.854495753186298,0.90374139152507,0.987531642183697,0.972001651361378,1.00306163300602,14.2280385494232
11,39,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,324.875944826046,320.201815704576,329.550073947516,201.289392827261,197.96444975434,204.614335900182,393.755681632452,386.22365935411,401.287703910795,0.153822476823976,0.15166183486155,0.156045571447807,0.054634545569042,0.053758364356032,0.055539760890419,0.099214626402146,0.096489975043562,0.10209762467906,0.65878547471062,0.64399512891999,0.673575820501251,0.823089653318015,0.808943096071888,0.83723621056414,0.596353672329522,0.585842221426083,0.606865123232961,0.796747925259842,0.779719292252711,0.813776558266973,0.910258183672999,0.884051292170261,0.936465075175737,0.986365882417381,0.972736515035546,0.999995249799217,14.2604203224182
17,33,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,309.09876768403,303.429634484952,314.767900883108,270.033707948177,266.360822912901,273.706592983453,334.726961752287,328.492357768337,340.961565736237,0.161679638908281,0.158797131910553,0.164668727910059,0.062943741312056,0.061935710663351,0.063985127105368,0.098597600524471,0.097317856111468,0.099911451100822,0.770301867320885,0.752084196688222,0.788519537953547,0.949917637960452,0.923545176125048,0.976290099795856,0.686584212219308,0.670074213091127,0.703094211347488,0.791620648743149,0.77153644903006,0.811704848456237,0.895249322233584,0.87242611120372,0.918072533263448,0.981169582695803,0.967144879055161,0.995194286336445,15.520379781723
19,31,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,308.147360121851,302.177233247499,314.117486996204,294.663060674709,289.204127544434,300.121993804983,316.064686316022,311.204267705552,320.925104926493,0.16278192311384,0.15893770975778,0.166816705083926,0.06446115240818,0.063438253640746,0.065517578883356,0.099046459380813,0.096205296261879,0.102060541319783,0.769388081349494,0.75629301104179,0.782483151657199,0.97319355638887,0.959126820285755,0.987260292491984,0.703744286668941,0.687189967381377,0.720298605956504,0.780958832203294,0.765408363939257,0.79650930046733,0.887358716604248,0.872261558835633,0.902455874372863,0.978891950681659,0.951809717872026,1.00597418349129,13.3329832553864
2,48,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,442.670668156082,435.688361025651,449.652975286514,142.87685425322,138.617487571284,147.136220935156,482.423676858668,474.777074073827,490.070279643509,0.113486415154873,0.110363023911094,0.116791746090518,0.014115735901403,0.013915979730498,0.014321310368816,0.098942942549671,0.097387126000276,0.100549276307884,0.169144511243795,0.166036254065153,0.172252768422437,0.212285665457882,0.206509647625536,0.218061683290229,0.15676507276721,0.153284955916091,0.160245189618329,0.789687148586955,0.770172700801842,0.809201596372068,0.895253841703483,0.873396904553652,0.917110778853315,0.996113063279838,0.981944815755469,1.01028131080421,28.6793222427368
13,37,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,318.524790686233,313.318037864011,323.731543508455,222.718764060385,219.318311296093,226.119216824676,372.731630367332,366.047312768787,379.415947965877,0.157233039400267,0.154900864180306,0.159636514194127,0.058387198379619,0.057356746620052,0.059455352985837,0.099077926682216,0.097714049628455,0.100480416238021,0.708365723246256,0.690935440328138,0.725796006164375,0.874967823409814,0.860648350577881,0.889287296241748,0.632825943921417,0.621108982561629,0.644542905281204,0.783759600346028,0.765453215888974,0.802065984803081,0.885893588326564,0.866660961778171,0.905126214874957,0.988745517893137,0.97407459331767,1.0034164424686,13.030809879303
7,43,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,351.985774758162,344.829437547501,359.142111968823,167.768688654338,164.66805654477,170.869320763905,432.132277218548,426.407224903725,437.857329533371,0.141389601797244,0.138667669147348,0.144220532603925,0.04160438107012,0.040537633257799,0.042728789149357,0.09953488699233,0.097391070142118,0.10177520952703,0.497428210334455,0.485866635499977,0.508989785168933,0.625856718747041,0.613056594846066,0.638656842648017,0.455075258168473,0.442688551696036,0.467461964640911,0.800636316628655,0.77821011743729,0.823062515820021,0.893522675431749,0.87194948532018,0.915095865543318,0.996608731963593,0.984015162286254,1.00920230164093,17.4444155693054
26,24,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,310.472929629729,301.829750231801,319.116109027656,395.427694790367,387.475814902005,403.37957467873,253.246122945136,248.960889077567,257.531356812704,0.160697633016181,0.158423233375268,0.163038288595135,0.065905689341787,0.064536224882888,0.067334534173896,0.094747829660274,0.092909545190342,0.096660326121249,0.796519328054942,0.78107960153923,0.811959054570653,0.989760117380645,0.976805144944724,1.00271508981657,0.728496128445199,0.710287349684772,0.746704907205627,0.755530926542187,0.739325923246628,0.771735929837746,0.852965306838205,0.830904981485621,0.87502563219079,0.9463484066349,0.928059081488225,0.964637731781576,10.1133563518524
22,28,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,307.39947170226,301.997548834362,312.801394570159,338.710574515857,330.126280806465,347.29486822525,289.807264811083,284.078730740326,295.535798881841,0.159890582296638,0.155252891814122,0.164813877058423,0.064905284474927,0.063666597222337,0.066193127501289,0.096597271919103,0.094893214552988,0.098363650087223,0.785308213730246,0.762996574298122,0.807619853162371,0.981826203616605,0.968021492254006,0.995630914979204,0.715663799363289,0.697766580137026,0.733561018589553,0.766478259419245,0.744401765702161,0.788554753136329,0.869636377490924,0.84620644519063,0.893066309791218,0.968824723138609,0.952073582122911,0.985575864154307,11.5804920196533
20,30,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,308.473068480126,303.342470069342,313.60366689091,307.054894801005,301.080938881099,313.028850720911,308.504533797719,301.750889911749,315.258177683689,0.162135544800734,0.159602845923252,0.16474992137095,0.065122445964475,0.063850316572524,0.066446296675396,0.097475466530353,0.095050775650308,0.100027100611729,0.784159331569436,0.765716483159253,0.80260217997962,0.976114340750745,0.960960194557432,0.99126848694406,0.721980940977706,0.707997493855757,0.735964388099655,0.773689645516287,0.751959346054364,0.795419944978211,0.891434667254664,0.865995440781502,0.916873893727825,0.976155364008566,0.960952458185328,0.991358269831803,12.2975740432739
