N_read,N_write,r_Z_read,r_Z_write,C_DB,r_DB_read,r_DB_write,R0,R0_low,R0_up,R0_read,R0_read_low,R0_read_up,R0_write,R0_write_low,R0_write_up,X0,X0_low,X0_up,X0_read,X0_read_low,X0_read_up,X0_write,X0_write_low,X0_write_up,U_DBread,U_DBread_low,U_DBread_up,U_DBwrite,U_DBwrite_low,U_DBwrite_up,sim_time_sec
90,10,0.1,0.002777777777777778,1,0.2,0.025,741.9998260459212,725.8482623974004,758.151389694442,715.0416999531457,695.8137562138858,734.2696436924056,1089.8209423421263,1057.9099645652807,1121.7319201189719,0.1346383014225336,0.13182020045542137,0.1375795274099725,0.12604449681303695,0.12279347797213148,0.1294723419227131,0.009192679658361234,0.00906119494324913,0.009328036443197086,0.6311089415515774,0.617640977207997,0.6445769058951577,0.37115187115218184,0.3640565193861479,0.3782472229182158,18.14677882194519
90,10,0.1,0.003703703703703704,1,0.2,0.025,750.0470726619552,733.6424066813888,766.4517386425216,729.1442527374436,709.2512042594901,749.0373012153971,1015.6063685824716,985.6823285051171,1045.5304086598262,0.13249560888748538,0.12882568879250964,0.13638075379620593,0.12239117342016577,0.11935602828689452,0.12558470981956682,0.00986905420396505,0.009617738554201616,0.010133856230856747,0.6205455692488805,0.6037653543784618,0.6373257841192992,0.3892576267147882,0.38014720774615457,0.3983680456834218,12.975278615951538
90,10,0.1,0.004166666666666667,1,0.2,0.025,782.1529503266682,764.5942911055425,799.711609547794,762.1828137896848,742.6983400473733,781.6672875319963,992.70349642627,965.8928801915035,1019.5141126610365,0.12827233619719633,0.1253246976369318,0.1313619715197219,0.11849072719047307,0.11560438083849986,0.12152489363710105,0.010018794390968873,0.00987721247450712,0.010164494261362726,0.58856043847082,0.5715487931872724,0.6055720837543676,0.3985847246532628,0.3920032717428674,0.40516617756365814,17.02202796936035
90,10,0.1,0.002564102564102564,1,0.2,0.025,735.6019034735266,717.526456743204,753.6773502038492,701.590531215767,681.8125551711684,721.3685072603656,1109.303155020476,1093.7714996455122,1124.8348103954397,0.13546329249985412,0.1322213740977756,0.138868183134511,0.1262604964754226,0.12363611579466621,0.12899870700831761,0.009014869213688773,0.008886042788657377,0.009147485940820117,0.6252108345644327,0.6073293735001092,0.6430922956287562,0.3630946092373519,0.3548927434565442,0.37129647501815954,19.589894771575928
90,10,0.1,0.0030303030303030303,1,0.2,0.025,743.0874226230655,724.847006126208,761.327839119923,719.1215810629197,697.9472362724822,740.2959258533573,1057.760098256931,1032.0187835542822,1083.50141295958,0.13455392728319357,0.13161235541986877,0.1376299950248823,0.12430790406039195,0.12186810457946354,0.12684738881278473,0.00940000605295276,0.009135486079415006,0.009680301268006553,0.6259496250256554,0.6146623331580987,0.6372369168932122,0.37462391503102266,0.36816615182837437,0.38108167823367095,15.187950372695923
90,10,0.1,0.0033333333333333335,1,0.2,0.025,754.4478935659328,737.0124090160494,771.8833781158161,723.6275835196842,704.4914243290533,742.7637427103151,1041.8897453272273,1011.7527032758238,1072.0267873786306,0.1325559249152128,0.1296631737806484,0.13558069437001086,0.12290903283981856,0.12028737474389714,0.12564751495836457,0.009608768199052186,0.009333359083845163,0.009900925073079193,0.6138603988448562,0.6022804353896072,0.6254403623001052,0.3852453952869859,0.37667784930074677,0.3938129412732251,15.355040311813354
90,10,0.1,0.0022222222222222222,1,0.2,0.025,718.8154808005014,701.082336470527,736.5486251304758,685.451949461368,671.1094277359124,699.7944711868237,1156.2262056011525,1124.2988294170339,1188.1535817852712,0.13831780019725656,0.1343915221063897,0.14248039654687727,0.13067337120539294,0.12744215245041457,0.13407270357697326,0.008720048072762531,0.008587575860412118,0.008856671360670493,0.6465707932165585,0.6287172822710483,0.6644243041620688,0.3508025838850661,0.3427119492388336,0.3588932185312986,19.012706518173218
90,10,0.1,0.004761904761904762,1,0.2,0.025,768.4876546033206,752.4479770898721,784.5273321167691,762.007876936805,743.403121588111,780.612632285499,981.839686065756,969.3701882354375,994.3091838960746,0.12853359686306925,0.12489978023284627,0.13238519304016255,0.11927290542848416,0.1167342749202054,0.12192440617609214,0.010193644688427496,0.010032659942075852,0.010359880030659588,0.5926726010945055,0.577332168677538,0.608013033511473,0.409079158740442,0.40258869544453846,0.4155696220363455,21.643738985061646
90,10,0.1,0.002702702702702703,1,0.2,0.025,734.7201758528153,716.6272905019465,752.813061203684,705.0199466701437,686.6217740165663,723.418119323721,1092.6403050560873,1060.7285042806286,1124.552105831546,0.13598169011509953,0.13244488872275378,0.1397125672143765,0.12693407198334186,0.12326256730460237,0.13083101067546038,0.009204903084936664,0.008940475229427374,0.009485449361140484,0.6321364498444099,0.6190083487569107,0.645264550931909,0.3649896565549798,0.35871356702162516,0.3712657460883344,14.177394151687622
90,10,0.1,0.002380952380952381,1,0.2,0.025,719.2719690363699,698.7935097520289,739.750428320711,692.3673498814969,675.018430948344,709.7162688146499,1133.5014512822931,1101.1677055011162,1165.83519706347,0.138135771897133,0.134867775911918,0.14156607511060215,0.12960330664588735,0.12781188113917621,0.13144566365145693,0.008863964904602614,0.008610069384068504,0.00913328924133898,0.6573758387132413,0.640023611565557,0.6747280658609257,0.3525678035345052,0.34630685704286823,0.3588287500261421,18.5759220123291
