N_A,N_B,r_Z_A,r_Z_B,c_T1,c_T2,c_T3,c_T4,r_A_T1,r_B_T1,r_A_T2,r_B_T2,r_A_T3,r_B_T4,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ut1,Ut1_low,Ut1_up,Ut2,Ut2_low,Ut2_up,Ut3_A,Ut3_A_low,Ut3_A_up,Ut3_B,Ut3_B_low,Ut3_B_up,sim_time_sec
21,29,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,552.557108769041,537.3547850691571,567.7594324689248,693.6655041773269,681.7510879970973,705.5799203575564,480.32890456492544,473.0647246471412,487.5930844827097,0.0910276695464761,0.08921003047728247,0.09292091729813344,0.030234214649003974,0.029733699102984124,0.03075186933495495,0.06037810858494249,0.05946027466504003,0.06132472227875943,0.8440066898086089,0.8252869996651955,0.8627263799520224,1.0,0.9874855732602297,1.0125144267397703,0.33171569853765787,0.32397817886442,0.33945321821089575,0.6006621780230438,0.584287711248096,0.6170366447979916,13.525256395339966
28,22,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,589.7533537489287,580.2411426616865,599.2655648361709,714.040373567551,702.6186659449855,725.4620811901165,481.1905235511073,467.3187532752203,495.0622938269943,0.08483122252368402,0.08343255464539928,0.08627758463933434,0.0392326497350002,0.03857182315216308,0.03991651405422526,0.0456412966077061,0.04492465940101757,0.04638116800857563,0.846120026243971,0.8216308262529569,0.870609226234985,1.0,0.9874855732602297,1.0125144267397703,0.42957969832859844,0.41872111127604855,0.4404382853811483,0.4547658651720805,0.4444996691513708,0.4650320611927902,11.973941802978516
23,27,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,561.1156309393265,551.084982187809,571.1462796908439,700.1761391665941,683.2054403281691,717.1468380050192,478.0136932497783,470.2010307261409,485.82635577341574,0.08903924068949699,0.08782164219855573,0.09029107652136768,0.03282706518748062,0.032119354465901404,0.03356666564202095,0.0563653861605284,0.055080848055897476,0.05771126818052241,0.8478017435483213,0.8281849436490397,0.8674185434476028,1.0,0.9874855732602297,1.0125144267397703,0.36110981792422164,0.3524164159909335,0.3698032198575098,0.566830465366322,0.5532412247276267,0.5804197060050172,12.105990648269653
2,48,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,483.80858203375755,476.1330604882516,491.4841035792635,362.30940595562606,354.28507231115304,370.3337396000991,488.89750688100077,479.3305196395483,498.46449412245323,0.10367088450897094,0.1016130389001832,0.10581380309907894,0.0055282012131407186,0.005437600352899496,0.005621872399417214,0.0977283698584953,0.09602434065912571,0.09949397043029494,0.854888065355105,0.8386941600458026,0.8710819706644074,0.9687338750913195,0.9496934615921783,0.9877742885904607,0.06028483897754351,0.05901310200602341,0.061556575949063615,0.9910603477426209,0.976689973417017,1.0054307220682246,48.49572968482971
25,25,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,570.8281200433188,558.4266349209843,583.2296051656533,705.0778621716361,693.7082906210753,716.4474337221968,477.51105389471815,467.6190956675898,487.4030121218465,0.08746921803988464,0.08566447138069773,0.08935164467034888,0.03545799806878865,0.034886523758222515,0.03604850676181343,0.05223812386486732,0.05133333659192508,0.05317537846119418,0.8446093766986758,0.8211478567358387,0.8680708966615128,0.9999881757389328,0.9874737489991625,1.0125026024787032,0.3898846414448995,0.38071017096706866,0.3990591119227303,0.5172668539300576,0.5050274592637158,0.5295062485963993,14.697131395339966
30,20,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,601.7320153502327,587.2493381824198,616.2146925180456,717.3174428789913,703.9886025231904,730.6462832347922,484.93421482846554,478.69770994199706,491.170719714934,0.08304765579439655,0.08140049009322747,0.08476286016023044,0.042098644330262704,0.04095806689618948,0.04330456575767608,0.041235581659439996,0.040695258462870754,0.04179044599048323,0.8258503038423087,0.8022922642168239,0.8494083434677936,1.0,0.9874855732602297,1.0125144267397703,0.46350574249679,0.452628204053068,0.474383280940512,0.4144681826388763,0.40421875711678096,0.42471760816097165,13.352838516235352
27,23,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,579.1007010209845,566.172793130704,592.028608911265,707.4291194882181,695.5658446838426,719.2923942925937,476.56039890209973,467.53162825537487,485.5891695488246,0.08635025082264688,0.08458173508968181,0.08819430154681361,0.03813467399172179,0.03730041498044662,0.03900710473124175,0.048290058883910504,0.047437677642384705,0.04917363253321464,0.8491929307360778,0.8318279367841371,0.8665579246880185,1.0,0.9874855732602297,1.0125144267397703,0.4210286085285041,0.41360344663119025,0.42845377042581795,0.48234241437130604,0.4691382697091206,0.4955465590334915,14.83068299293518
5,45,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,480.3951544469445,466.18338343693256,494.60692545695645,516.6940456399086,501.32338139750533,532.064709882312,480.35556496854304,467.46505658818415,493.2460733489019,0.10381558814206865,0.10099250841864418,0.10680103570710608,0.009756020370042256,0.009545157247179185,0.009976410352888824,0.09386258484371457,0.09166943039038807,0.09616325218592191,0.8813725485013558,0.8556746107277197,0.907070486274992,0.9947248987972439,0.978053243358212,1.011396554236276,0.10843962051752404,0.10519039012693239,0.11168885090811569,0.9431937578102249,0.918025931892158,0.9683615837282917,27.59688663482666
36,14,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,639.1226035952119,627.8370799011325,650.4081272892913,727.651464834649,712.1791641753434,743.1237654939546,483.7157243269401,475.80383814109723,491.627610512783,0.07819353453073921,0.076578902370848,0.07987772081299883,0.04978257975077627,0.04876786412531799,0.05084041914222256,0.02883144215162718,0.02813701010699166,0.029561019280920628,0.8325570216649394,0.8141973847433093,0.8509166585865695,0.9999555483980797,0.987449567209922,1.0124615295862371,0.544177357913246,0.5280648253041659,0.560289890522326,0.29043507967374504,0.28393841624518507,0.296931743102305,12.477864742279053
29,21,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,595.9881603275611,584.4804536471278,607.4958670079944,717.632063451323,706.3923553610798,728.8717715415662,480.54792177705355,474.17300537325883,486.92283818084826,0.08389507537608905,0.08235274559027071,0.08549627829464758,0.04013702173880166,0.039454206003582966,0.040843888060034174,0.04372535771857276,0.042549330206908875,0.04496824190437639,0.8355714510473072,0.8123043514712043,0.8588385506234102,0.9999177420028011,0.9874191081126035,1.012416375892999,0.43962239897885563,0.43085705036409405,0.4483877475936172,0.4404574160759073,0.43210035248835343,0.4488144796634612,12.860769510269165
32,18,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,611.3812770267328,600.5415996235538,622.2209544299119,722.2552986259979,709.2501604636604,735.2604367883353,481.8342194294751,474.031994614364,489.63644424458624,0.08191205214102792,0.07953857232262837,0.084431541152588,0.04427311216188076,0.04348979995302964,0.045085159022020024,0.03735508869799306,0.03677492431803996,0.03795385194188901,0.8378313615131521,0.812959215811599,0.8627035072147051,1.0,0.9874855732602297,1.0125144267397703,0.48277580732277736,0.47378552390534984,0.4917660907402049,0.37689829195787805,0.36872654965879903,0.38507003425695707,14.894670248031616
34,16,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,630.1992586458852,619.514159599426,640.8843576923443,729.3981558934095,715.0730169271118,743.7232948597072,484.68909832332156,475.7750038989012,493.6031927477419,0.07929813086943616,0.0772703513566836,0.0814352072775917,0.04664686085416026,0.04570128323073607,0.04763239392146755,0.03319441823240215,0.032706155426338146,0.03369748030361955,0.8210639922320757,0.803039553527417,0.8390884309367345,1.0,0.9874855732602297,1.0125144267397703,0.5058809484563145,0.4909150647838085,0.5208468321288204,0.3308774046969586,0.3230054090488867,0.3387494003450305,16.979211568832397
31,19,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,609.3920512844087,599.4504440919203,619.3336584768971,726.5336832485509,716.4158345760466,736.6515319210553,481.91649899100304,474.83447761826255,488.9985203637435,0.08202334442202017,0.08077698152549048,0.08330877203341379,0.04274474390318019,0.04197292638030367,0.043545478234615465,0.039345353966592826,0.03873904797292188,0.039970940344462816,0.822989440494386,0.804045911559226,0.8419329694295461,1.0,0.9874855732602297,1.0125144267397703,0.46804152462411436,0.4548501835365971,0.4812328657116316,0.3947070639616664,0.3838875287480194,0.40552659917531336,13.385813236236572
38,12,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,654.2882492059806,643.8902843770662,664.686214034895,734.3088120076325,718.7363044643531,749.8813195509118,484.74309289717274,476.409569207038,493.0766165873075,0.07659379789931506,0.07552570118883904,0.07769253837253155,0.05158628797588451,0.050757680044960715,0.052442398565044034,0.024760351490287803,0.02435674410181514,0.02517756034782727,0.8175817438334637,0.7989556498045965,0.8362078378623309,1.0,0.9874855732602297,1.0125144267397703,0.5628548135181828,0.5509306253644851,0.5747790016718805,0.2461932262208498,0.24031575150391984,0.2520707009377797,15.882137060165405
40,10,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,663.9147842666341,653.0998632878401,674.7297052454281,730.47957179976,717.7044784237542,743.2546651757659,482.1477153867543,474.3180799156919,489.97735085781676,0.07513527982080781,0.07352573510726537,0.07681687045810426,0.054925901491885504,0.05335079307679748,0.056596845105889436,0.020729403388120102,0.020470989323613076,0.020994425005388617,0.8272870130339375,0.8039579980749726,0.8506160279929024,1.0,0.9874855732602297,1.0125144267397703,0.6010799915448126,0.5853953451616536,0.6167646379279716,0.20736774620490622,0.2020731889531622,0.21266230345665024,16.99939775466919
33,17,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,621.9898942614282,611.2025765630791,632.7772119597772,727.5023585577763,706.7551242438767,748.249592871676,483.81233429863676,470.4092803906249,497.21538820664864,0.08033284968856948,0.07907842789854076,0.08162771077505653,0.04519629724056386,0.0444841746651961,0.04593159069954966,0.03512337241564442,0.034202435324430035,0.03609527627043605,0.8418867519495404,0.8219238393911578,0.8618496645079231,1.0,0.9874855732602297,1.0125144267397703,0.507683959761489,0.49346857568127395,0.5218993438417039,0.35172608945380346,0.3428298230823253,0.3606223558252816,9.774318933486938
37,13,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,649.2441155307542,636.4009504804251,662.0872805810834,735.72591789975,722.3678333753132,749.0840024241868,478.5632631262386,472.5954468863217,484.5310793661555,0.07716879052172823,0.07573349466266356,0.07865954059734782,0.05025332188867554,0.04941965789159848,0.051115594775035855,0.027173408168594555,0.026391201261165113,0.028003398884913863,0.8178182952837416,0.798795994547459,0.8368405960200243,1.0,0.9874855732602297,1.0125144267397703,0.5469377792736256,0.5312504682709716,0.5626250902762797,0.2686489074143508,0.2637294003113605,0.27356841451734115,11.31603217124939
1,49,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,485.1753771148492,476.8695680660387,493.4811861636597,303.74128974324987,297.5791033942918,309.90347609220794,489.4385767346296,482.19166735280885,496.6854861164503,0.10341860444284998,0.10165839937235975,0.10524083910079833,0.003292275478402334,0.0032268111755624916,0.003360451014851677,0.09987160459387738,0.09826173463181834,0.10153510376016535,0.8385532716939799,0.8224751293565311,0.8546314140314286,0.9408774939419353,0.9227623954719415,0.9589925924119291,0.0365759256533464,0.03547875860277684,0.03767309270391596,0.9959253919155114,0.9823813920286226,1.0094693918024003,67.49653172492981
42,8,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,679.6633901924558,666.9024088978213,692.4243714870904,737.9917434346946,723.5123046312353,752.4711822381539,483.2154257900334,475.2616197935419,491.1692317865249,0.07357658291490726,0.07232472265961447,0.07487254309936477,0.05682478964776204,0.05570930894225377,0.05798585415805371,0.016576308206208902,0.01634995849474303,0.016809013094430714,0.8276931488254201,0.81081218269057,0.8445741149602702,1.0,0.9874855732602297,1.0125144267397703,0.6216126943862479,0.6060290898823305,0.6371962988901653,0.16611989931024096,0.16217980128127027,0.17005999733921165,17.042975425720215
