N_A,N_B,r_Z_A,r_Z_B,c_APP,c_STO,r_A_APP,r_B_APP,r_A_STO,r_B_STO,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Uapp,Uapp_low,Uapp_up,Usto,Usto_low,Usto_up,sim_time_sec
1,49,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.1,496.24866994140075,487.1609858357435,505.336354047058,416.83627446849187,405.09056840730403,428.5819805296797,496.59577261918696,485.6272462558368,507.56429898253714,0.10074668370152218,0.09891240849344542,0.10265027556052947,0.002399023456572009,0.0023332758851972992,0.0024685837637042586,0.09871164567412882,0.09663936705819272,0.10087474528778843,0.616686974161281,0.599470133527944,0.6339038147946181,1.0,0.9874855732602297,1.0125144267397703,49.08168029785156
12,38,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.125,400.05553719455435,391.9380769790691,408.1729974100396,452.2354514287413,443.59212945190126,460.8787734055814,382.4792700867027,373.77942620838905,391.1791139650163,0.1253964165725971,0.12296014644753721,0.12793118024604533,0.02652982958388875,0.02604020139807877,0.02703822335733138,0.09934063530645984,0.09686935779047745,0.10194130555041384,0.9745981727012903,0.9528388626749047,0.996357482727676,1.0,0.9713515668682959,1.028648433131704,23.97752809524536
6,44,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.07142857142857142,649.143638367111,636.9068538384397,661.3804228957822,440.97092459860033,432.97691801944484,448.96493117775583,689.3004843823333,676.1022546569928,702.4987141076737,0.07728840231225007,0.07596942832223427,0.07865398532566432,0.013611992314648338,0.013380726296107343,0.013851393111378375,0.063822887260514,0.0625719272652936,0.06512488692387104,0.5686910121249676,0.5542063561238342,0.5831756681261011,1.0,0.9874855732602297,1.0125144267397703,27.476364850997925
10,40,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.06666666666666667,643.6356947580088,632.5195603970345,654.751829118983,441.72857973036986,434.8554929558482,448.6016665048915,734.2224950224827,722.945578639581,745.4994114053844,0.07760587721714718,0.07598227685977291,0.07930037927004534,0.022729733650744613,0.022149322345196433,0.023341382257331206,0.054594722836678794,0.053596187428578225,0.05563117145660268,0.6512974480868728,0.6331887001127853,0.6694061960609604,1.0,0.9874855732602297,1.0125144267397703,13.363455772399902
4,46,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.125,397.78110892392056,389.1600232567507,406.4021945910904,408.69158493154356,397.34764050492777,420.03552935815935,397.2604487875127,391.0851451545816,403.4357524204438,0.12556488860044013,0.12324510219823485,0.12797367884632252,0.009790240694045695,0.009522162586642171,0.010073850510032662,0.11577552548188595,0.11377533774959764,0.11784729891034694,0.8275306741303272,0.8047953897108541,0.8502659585498004,1.0,0.9713515668682959,1.028648433131704,32.63888192176819
8,42,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.125,399.107145391848,391.65160166413574,406.5626891195603,422.38670054219415,410.82556482969665,433.94783625469165,399.3114849279611,392.8223793675263,405.80059048839587,0.12461879489615982,0.1224316180612933,0.12688553869409233,0.01893821632123531,0.018425918503116437,0.019479815759508412,0.10517031780885756,0.10339642789144358,0.10700613661531203,0.9097817634893121,0.8839631974904469,0.9356003294881772,1.0,0.9874855732602297,1.0125144267397703,21.584859132766724
9,41,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.08333333333333333,554.3844988476422,540.8182471338051,567.9507505614794,432.8860408356241,426.46233222662386,439.30974944462434,587.8138072281007,576.5091561089105,599.1184583472909,0.09065155903814984,0.08813202257985739,0.09331939311638644,0.02078448273715246,0.02043197752258706,0.021149364763656905,0.06984250397343249,0.06854831684881181,0.07118649979591017,0.7077177800266263,0.6888465950394648,0.7265889650137879,1.0,0.9874855732602297,1.0125144267397703,20.057625770568848
0,50,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.1,502.38323703558945,495.3037316442381,509.4627424269408,0.0,0.0,0.0,502.38323703558945,495.3037316442381,509.4627424269408,0.0995405539468591,0.09817070831294013,0.10094916942246819,0.0,0.0,0.0,0.0995405539468591,0.09817070831294013,0.10094916942246819,0.5942370284890047,0.5814854703265994,0.6069885866514101,1.0,0.9713515668682959,1.028648433131704,15.60184907913208
12,38,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.1111111111111111,436.8059295095815,426.9271651305422,446.6846938886208,431.0982392566342,423.39880031770787,438.79767819556054,441.0660368892764,433.61484521096276,448.51722856759005,0.1156743571949617,0.11317833679270825,0.11828295416864301,0.02784595841918147,0.027377119118406713,0.02833113546368721,0.08607038014111942,0.08415976419422264,0.08806976182904395,0.9349517965142412,0.9108390938176516,0.9590644992108308,1.0,0.9874855732602297,1.0125144267397703,18.56992816925049
2,48,0.01,0.01,1,1,0.07142857142857142,0.16666666666666666,0.125,0.07692307692307693,642.040110491449,629.097500704265,654.982720278633,439.60338474006335,432.8053031715584,446.4014663085683,649.808277517422,639.5097513302322,660.1068037046117,0.07792171036562438,0.0757605520121539,0.08020978839048333,0.00454963035524946,0.004478472337115626,0.004623086128060298,0.07392324283772238,0.07189562826620578,0.07606854276003747,0.5080459661921323,0.493020911886652,0.5230710204976126,1.0,0.9874855732602297,1.0125144267397703,69.53950047492981
