N_read,N_write,r_Z_read,r_Z_write,C_DB_read,r_DB_read,C_DB_write,r_DB_write,R0,R0_low,R0_up,R0_read,R0_read_low,R0_read_up,R0_write,R0_write_low,R0_write_up,X0,X0_low,X0_up,X0_read,X0_read_low,X0_read_up,X0_write,X0_write_low,X0_write_up,U_DBread,U_DBread_low,U_DBread_up,U_DBwrite,U_DBwrite_low,U_DBwrite_up,sim_time_sec
90,10,0.1,0.004347826086956522,1,0.2,1,0.025,1584.9355075332987,1413.1943817972117,1756.6766332693858,3070.179480243993,2730.238772644704,3410.120187843282,415.5232795966136,408.6327577266976,422.41380146652955,0.0767311282012265,0.07222694041707126,0.0818344560618314,0.03372167054509886,Infinity,Infinity,0.024145340751166755,0.023773715066781113,0.02452876928332709,0.14537478714527918,0.12388743047726541,0.16686214381329295,0.9663830522986501,0.9537196581069523,0.9790464464903479,130.43801593780518
90,10,0.1,0.0020408163265306124,1,0.2,1,0.025,511.2692933860025,499.96067672925744,522.5779100427476,546.5859509609094,534.2817745436529,558.8901273781659,579.5006832491983,568.4426678286516,590.5586986697451,0.2003048346370911,0.195763066227076,0.20506234952017893,0.1651074782309335,0.1607865546575916,0.16966705332662294,0.017258208908783636,0.01693912273754245,0.01758954727745786,0.8272151725690906,0.806595368969496,0.8478349761686852,0.6897314051221038,0.677257811688194,0.7022049985560137,35.25643253326416
90,10,0.1,0.002380952380952381,1,0.2,1,0.025,558.9559523994707,545.8466729855467,572.0652318133947,618.9773860655826,604.202378529423,633.7523936017421,524.1670675943454,516.2233026390179,532.110832549673,0.1839343958139235,0.18004414610915434,0.18799647302945877,0.14572491071423277,0.14258444063726203,0.1490068362053705,0.0191005414442343,0.01878972508790942,0.019421813700175584,0.7315182348790142,0.717009844488541,0.7460266252694875,0.7633008318397319,0.7428090242215515,0.7837926394579122,66.44011735916138
90,10,0.1,0.002173913043478261,1,0.2,1,0.025,510.0080313872992,495.4208670677964,524.595195706802,564.0655074195718,547.494057654421,580.6369571847225,556.4254032109725,547.7653182323621,565.0854881895829,0.198220397355569,0.1931365246990145,0.20357914793495366,0.16133245433014312,0.15692018229911742,0.16600003304580632,0.017980071264525298,0.017680642058803986,0.01828981710925181,0.815233803848616,0.79523201260695,0.835235595090282,0.7202415119084243,0.7041736841517364,0.7363093396651123,41.02280950546265
90,10,0.1,0.002564102564102564,1,0.2,1,0.025,592.4795344457115,574.9955682955897,609.9635005958332,677.4938804320187,651.7103177042751,703.2774431597624,502.5943207595332,492.4132333980011,512.7754081210653,0.17316372332856297,0.16910841268629725,0.17741830976996983,0.13319151933417228,0.12937753282157552,0.13723720515036272,0.019812407027181834,0.0194858355713423,0.02015011136527887,0.6701361011161999,0.651693066832196,0.6885791354002039,0.8077343225397131,0.7859358658079205,0.8295327792715057,75.3594970703125
90,10,0.1,0.002777777777777778,1,0.2,1,0.025,634.2533591132418,614.4424592210149,654.0642590054687,752.4274717316438,725.9150539662119,778.9398894970757,479.30442680563084,470.93883812551553,487.67001548574615,0.16381444061739994,0.1591307931724595,0.16878215356947768,0.11862473349316868,0.11506683694104837,0.12240967243007783,0.020863953551393134,0.02051373012205692,0.021226343163162315,0.6036040780519519,0.5859022191228572,0.6213059369810466,0.8286170690430519,0.8145887822181564,0.8426453558679473,76.47095346450806
90,10,0.1,0.0030303030303030303,1,0.2,1,0.025,742.8430875011508,715.4299914963098,770.2561835059918,918.4021598274761,874.0178503052456,962.7864693497066,459.27957048308735,453.8171103355673,464.7420306306074,0.1418436275333774,0.13737359262277868,0.14661434983633687,0.09834100373246425,0.09412676694470652,0.10295028649818055,0.021782830531387406,0.021395124571606177,0.02218484723672261,0.49092241941211445,0.4724446725612935,0.5094001662629354,0.8687597378028766,0.8454372718032214,0.8920822038025319,80.93474578857422
90,10,0.1,0.0018867924528301887,1,0.2,1,0.025,493.2995622580775,482.6799043694581,503.91922014669694,508.7998802802257,494.3526859157121,523.2470746447393,614.7230668965152,604.1057092650688,625.3404245279617,0.20826406389916338,0.20311391025911416,0.21368218661566485,0.1737825187484121,0.16925756735734118,0.1785560570385795,0.01612626521862547,0.015692197212270814,0.01658503022834115,0.8674763058226926,0.8479847603518261,0.8869678512935592,0.6504503192483214,0.6389207952870329,0.6619798432096099,35.413090467453
90,10,0.1,0.005,1,0.2,1,0.025,2220.5156665167174,1883.989758599365,2557.04157443407,5259.425758659382,4406.811567459006,6112.039949859758,408.3894820216848,400.9477700296597,415.8311940137099,0.0666483263615087,0.0626982021374473,0.0711296503095346,0.023444554870386287,Infinity,Infinity,0.02449488425734872,0.024160190460801236,0.02483898142030035,0.07964107019391835,0.05435313672881863,0.10492900365901807,0.9826865031078313,0.9538046941198312,1.0115683120958316,180.77535128593445
90,10,0.1,0.0033333333333333335,1,0.2,1,0.025,880.3145199730851,836.6942480091004,923.9347919370698,1163.0971101437117,1102.510526516423,1223.6836937710004,443.7093807865162,437.276536058986,450.1422255140464,0.12252044590552742,0.11683513175182575,0.12878736779777075,0.07700650425768346,0.07289233963496898,0.08161287009218582,0.022542349970252964,0.022238762202318938,0.022854341184725777,0.3877122368529794,0.3739489224774685,0.40147555122849027,0.9011371998875345,0.8755569113629874,0.9267174884120816,86.60251450538635
